ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement
1,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodRoundwood,SoftwoodRoundwoodDelivery,Volume,9075000000
2,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodRoundwood,HardwoodRoundwoodDelivery,Volume,804629629.6
3,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,SawmillsSoftwood,Volume,5447222222
4,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,SawmillsHardwood,Volume,62037037.04
5,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodSawnwood,SawmillsSoftwood,Volume,3614600000
6,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodSawnwood,SawmillsHardwood,Volume,49820000
7,UnitedKingdom,YearOf2019,Export,SoftwoodRoundwood,,Volume,164106458.3
8,UnitedKingdom,YearOf2019,Export,HardwoodRoundwood,,Volume,4110451.852
9,UnitedKingdom,YearOf2019,Import,SoftwoodRoundwood,,Volume,635014712
10,UnitedKingdom,YearOf2019,Import,HardwoodRoundwood,,Volume,69750658.33
11,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,,Volume,6823220000
12,UnitedKingdom,YearOf2019,Import,HardwoodSawnwood,,Volume,639180000
13,UnitedKingdom,YearOf2019,Export,SoftwoodSawnwood,,Volume,204580000
14,UnitedKingdom,YearOf2019,Export,HardwoodSawnwood,,Volume,23320000
15,UnitedKingdom,YearOf2019,SoldProduction,Fibreboard,,Volume,1389350000
16,UnitedKingdom,YearOf2019,SoldProduction,Particleboard,,Volume,3942100000
17,UnitedKingdom,YearOf2019,Import,Furniture,,Volume,0
18,UnitedKingdom,YearOf2019,Export,Fibreboard,,Volume,114700000
19,UnitedKingdom,YearOf2019,Export,Particleboard,,Volume,369720000
20,UnitedKingdom,YearOf2019,Import,Fibreboard,,Volume,1653900000
21,UnitedKingdom,YearOf2019,Import,Particleboard,,Volume,2012920000
22,UnitedKingdom,YearOf2019,Export,VeneerSheets,,Volume,2000000
23,UnitedKingdom,YearOf2019,Import,VeneerSheets,,Volume,53000000
24,UnitedKingdom,YearOf2019,Export,Plywood,,Volume,84280000
25,UnitedKingdom,YearOf2019,Import,Plywood,,Volume,1423940000
26,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,RoundwoodToFencingAndOutdoorManufacturing,Volume,245370370.4
27,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,OtherEnergyFeedstocksSoftwoodRoundwood,Volume,544444444.4
28,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,OtherEnergyFeedstocksHardwoodRoundwood,Volume,648148148.1
29,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WBPFibresSoftwoodRoundwood,Volume,1221296296
30,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WBPFibresByProducts,Volume,1359259259
31,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,WBPFibresRecycledWoodFibre,Volume,911111111.1
32,UnitedKingdom,YearOf2019,Import,GraphicPapers,,Volume,7476820000
33,UnitedKingdom,YearOf2019,Import,SanitaryPapers,,Volume,1345900000
34,UnitedKingdom,YearOf2019,Import,Packaging,,Volume,8455860000
35,UnitedKingdom,YearOf2019,Import,OtherPaperProducts,,Volume,425700000
36,UnitedKingdom,YearOf2019,Export,GraphicPapers,,Volume,1048960000
37,UnitedKingdom,YearOf2019,Export,SanitaryPapers,,Volume,30100000
38,UnitedKingdom,YearOf2019,Export,Packaging,,Volume,1270080000
39,UnitedKingdom,YearOf2019,Import,Pulp,,Volume,3318900000
40,UnitedKingdom,YearOf2019,Export,Pulp,,Volume,33300000
41,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToFencingAndOutdoorManufacturing,Volume,1337402000
42,UnitedKingdom,YearOf2019,SoldProduction,GraphicPapers,,Volume,2735640000
43,UnitedKingdom,YearOf2019,SoldProduction,SanitaryPapers,,Volume,3276600000
44,UnitedKingdom,YearOf2019,SoldProduction,Packaging,,Volume,7121520000
45,UnitedKingdom,YearOf2019,SoldProduction,OtherPaperProducts,,Volume,947100000
46,UnitedKingdom,YearOf2019,Import,WoodPellets,,Volume,19975500000
47,UnitedKingdom,YearOf2019,SoldProduction,WoodPellets,,Volume,670500000
48,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,PulpmillsByProducts,Volume,56481481.48
49,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,OtherEnergyFeedstocksByProducts,Volume,3300310000
50,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WoodPelletsManufacturingByProducts,Volume,563169164.9
51,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,WoodPelletsManufacturingPostConsumerWood,Volume,856531049.3
52,UnitedKingdom,YearOf2019,ProcessInput,RecycledPaper,PulpmillsRecycledPaper,Volume,11470000000
53,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,NewPulpMaking,Volume,429629629.6
54,UnitedKingdom,YearOf2019,Import,RecycledPaper,,Volume,307100000
55,UnitedKingdom,YearOf2019,Export,RecycledPaper,,Volume,16009900000
56,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,OtherEnergyFeedstocksPostConsumerWood,Volume,5117773019
57,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WoodPelletsManufacturingSoftwoodRoundwood,Volume,284259259.3
58,UnitedKingdom,YearOf2019,SoldProduction,Pallets,,Volume,2374069335
59,UnitedKingdom,YearOf2019,Import,Pallets,,Volume,140046482.6
60,UnitedKingdom,YearOf2019,SoldProduction,OtherWoodContainers,,Volume,121848217.4
61,UnitedKingdom,YearOf2019,Import,OtherWoodContainers,,Volume,121030786.8
62,UnitedKingdom,YearOf2019,SoldProduction,Doors,,Volume,737064695.9
63,UnitedKingdom,YearOf2019,Import,Doors,,Volume,240583270.5
64,UnitedKingdom,YearOf2019,SoldProduction,FormworkScaffolding,,Volume,2094659000
65,UnitedKingdom,YearOf2019,SoldProduction,Windows,,Volume,16535283.73
66,UnitedKingdom,YearOf2019,SoldProduction,Flooring,,Volume,511406854.4
67,UnitedKingdom,YearOf2019,SoldProduction,OtherObjects,,Volume,1936430.728
68,UnitedKingdom,YearOf2019,SoldProduction,EndTerracedHouses,,Area,1811934000
69,UnitedKingdom,YearOf2019,SoldProduction,MidTerracedHouses,,Area,3071860200
70,UnitedKingdom,YearOf2019,SoldProduction,SemiDetachedHouses,,Area,4898542500
71,UnitedKingdom,YearOf2019,SoldProduction,DetachedHouses,,Area,5764478400
72,UnitedKingdom,YearOf2019,SoldProduction,Bungalows,,Area,648925200
73,UnitedKingdom,YearOf2019,SoldProduction,ConvertedFlats,,Area,1095588000
74,UnitedKingdom,YearOf2019,SoldProduction,FlatLowRise,,Area,1969951500
,,,,,,,
76,UnitedKingdom,YearOf2019,SoldProduction,NewBuilds,,Area,21604152.6
77,UnitedKingdom,YearOf2019,Import,FormworkScaffolding,,Volume,1785813000
78,UnitedKingdom,YearOf2019,Import,Windows,,Volume,74397915.48
79,UnitedKingdom,YearOf2019,Import,Flooring,,Volume,122171253
80,UnitedKingdom,YearOf2019,Import,OtherObjects,,Volume,432924284.8
81,UnitedKingdom,YearOf2019,SoldProduction,Decking,,Volume,1962909081
82,UnitedKingdom,YearOf2019,SoldProduction,FencingPosts,,Volume,239448380.9
82,UnitedKingdom,YearOf2019,SoldProduction,FencingRailsAndBoards,,Volume,320249800.4
83,UnitedKingdom,YearOf2019,SoldProduction,WoodenOutbuildings,,Volume,773341205.6
,,,,,,,
86,UnitedKingdom,YearOf2019,RecycledWoodFibreDelivery,,,Volume,2874020192
87,UnitedKingdom,YearOf2019,RecycledPaperDelivery,,,Volume,27479900000
,,,,,,,
89,UnitedKingdom,YearOf2019,Import,WBPFibres,,Volume,0
90,UnitedKingdom,YearOf2019,Export,WoodPellets,,Volume,74250000
91,UnitedKingdom,YearOf2019,Export,Pallets,,Volume,140046482.6
92,UnitedKingdom,YearOf2019,Export,OtherWoodContainers,,Volume,27921955.69
93,UnitedKingdom,YearOf2019,Export,RailwaySleepers,,Volume,3908526.767
94,UnitedKingdom,YearOf2019,Export,Doors,,Volume,19739467.58
95,UnitedKingdom,YearOf2019,Export,FormworkScaffolding,,Volume,311285000
96,UnitedKingdom,YearOf2019,Export,Windows,,Volume,4627556.017
97,UnitedKingdom,YearOf2019,Export,Flooring,,Volume,4881280.921
98,UnitedKingdom,YearOf2019,Export,OtherObjects,,Volume,21977751.61
,,,,,,Volume,
100,UnitedKingdom,YearOf2019,ProcessOutput,Flooring,,Volume,96062184.15
101,UnitedKingdom,YearOf2019,Import,RailwaySleepers,,Volume,176278865.1
,,,,,,,0
,,,,,,,
104,UnitedKingdom,YearOf2019,Import,WoodenBedroomFurniture,,Volume,534065920.8
105,UnitedKingdom,YearOf2019,Export,WoodenBedroomFurniture,,Volume,18302985.01
106,UnitedKingdom,YearOf2019,SoldProduction,WoodenBedroomFurniture,,Volume,525573565.3
107,UnitedKingdom,YearOf2019,Import,WoodenKitchenFurniture,,Volume,97888655.25
108,UnitedKingdom,YearOf2019,Export,WoodenKitchenFurniture,,Volume,33939862.96
109,UnitedKingdom,YearOf2019,SoldProduction,WoodenKitchenFurniture,,Volume,3270810300
110,UnitedKingdom,YearOf2019,Import,WoodenOfficeFurniture,,Volume,98885955.03
111,UnitedKingdom,YearOf2019,Export,WoodenOfficeFurniture,,Volume,30116306.21
112,UnitedKingdom,YearOf2019,SoldProduction,WoodenOfficeFurniture,,Volume,397581263.4
113,UnitedKingdom,YearOf2019,Import,WoodenOtherFurniture,,Volume,1416840797
114,UnitedKingdom,YearOf2019,Export,WoodenOtherFurniture,,Volume,112819015
115,UnitedKingdom,YearOf2019,SoldProduction,WoodenOtherFurniture,,Volume,322673743
116,UnitedKingdom,YearOf2019,Import,WoodenSeats,,Volume,436218038.5
117,UnitedKingdom,YearOf2019,Export,WoodenSeats,,Volume,89941865.1
118,UnitedKingdom,YearOf2019,SoldProduction,WoodenSeats,,Volume,7198111.349
119,UnitedKingdom,YearOf2019,SoldProduction,VeneerSheets,,Volume,0
120,UnitedKingdom,YearOf2019,SoldProduction,Plywood,,Volume,0
121,UnitedKingdom,YearOf2019,SoldProduction,ParticleboardToRMIAndOther,,Volume,587009359.5
122,UnitedKingdom,YearOf2019,ProcessInput,WoodenOfficeFurniture,WoodenOfficeFurnitureConsumption,Volume,2081575987
123,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksConsumption,OtherEnergyFeedstocksConsumption,Volume,7851418163
124,UnitedKingdom,YearOf2019,SoldProduction,OtherEnergyFeedstocksWoodFibres,,Volume,7851418163
125,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksWoodFibres,OtherEnergyFeedstocksProduction,Volume,7851418163
126,UnitedKingdom,YearOf2019,ProcessInput,WoodenBedroomFurniture,WoodenBedroomFurnitureConsumption,Volume,809286978.6
127,UnitedKingdom,YearOf2019,ProcessInput,WoodenKitchenFurniture,WoodenKitchenFurnitureConsumption,Volume,2076755131
128,UnitedKingdom,YearOf2019,ProcessOutput,Pallets,PalletsManufacturing,Volume,2605778501
129,UnitedKingdom,YearOf2019,ProcessInput,Pallets,PalletsConsumption,Volume,2605778501
,,,,,,,0
131,UnitedKingdom,YearOf2019,ProcessInput,Windows,WindowsConsumption,Volume,102110472.2
132,UnitedKingdom,YearOf2019,ProcessInput,Doors,DoorsConsumption,Volume,1009711366
,,,,,,,0
134,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,RecycledWoodFibreProcessingForPallets,Volume,1962909081
135,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibresToPallets,RefurbishedPalletsManufacturing,Volume,1962909081
136,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToRepairMaintenanceImprovement,Volume,2713062099
137,UnitedKingdom,YearOf2019,Export,RefurbishedPallets,,Volume,0
138,UnitedKingdom,YearOf2019,ProcessInput,.,WoodFramesForNewStructuresManufacturing,Volume,178619282.5
139,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,WoodRoofsForNewStructuresManufacturing,Volume,214440000.9
140,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,WoodFloorFramingForNewStructuresManufacturing,Volume,272945000.2
141,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,WoodFramesForNewStructuresManufacturing,Volume,0
142,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,WoodRoofsForNewStructuresManufacturing,Volume,0
143,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,WoodFloorFramingForNewStructuresManufacturing,Volume,0
